,node,voltage_magnitude,voltage_angle,active_power,reactive_power,month,hour_of_day,day_of_month,daytype,timezone
180,WECCbus54,1.0152758,-1.7361179,2.4530499,-0.13832496,february,6,6,weekend,
186,WECCbus54,1.0145701999999999,-1.7477801,2.5398068,-0.13392225,february,7,6,weekend,
192,WECCbus54,1.0146916,-1.7454151000000002,2.5601211,-0.13219745,february,8,6,weekend,
198,WECCbus54,1.0162835,-1.7206137,2.4496216,-0.13673555,february,9,6,weekend,
204,WECCbus54,1.0172698,-1.7033807,2.324689,-0.14189264,february,10,6,weekend,
210,WECCbus54,1.0174663000000002,-1.6994772,2.2771442000000004,-0.14388631,february,11,6,weekend,
216,WECCbus54,1.0175606,-1.6973522,2.2586902,-0.14452658,february,12,6,weekend,
222,WECCbus54,1.0175471999999999,-1.697703,2.2628597000000004,-0.14436463,february,13,6,weekend,
228,WECCbus54,1.017567,-1.6971575,2.2575842999999995,-0.14454477,february,14,6,weekend,
234,WECCbus54,1.0174427,-1.7000115000000002,2.2833252999999996,-0.14361504,february,15,6,weekend,
240,WECCbus54,1.0170462,-1.7081026000000001,2.3673337,-0.14013446,february,16,6,weekend,
246,WECCbus54,1.0161457,-1.7248167,2.5559359,-0.13034704,february,17,6,weekend,
252,WECCbus54,1.0142620999999998,-1.7552143,2.8419387,-0.11142111,february,18,6,weekend,
258,WECCbus54,1.0115132,-1.7915573,2.9393197,-0.10540311,february,19,6,weekend,
264,WECCbus54,1.0106530999999999,-1.8015782,2.9501684,-0.10498483,february,20,6,weekend,
270,WECCbus54,1.0109054,-1.7983616000000002,2.9243232000000003,-0.10716264,february,21,6,weekend,
276,WECCbus54,1.0119354999999999,-1.7845388,2.8199226000000004,-0.11550514,february,22,6,weekend,
282,WECCbus54,1.0134139000000002,-1.7638333,2.6622546000000002,-0.12654601,february,23,6,weekend,
0,WECCbus57,0.99343964,-1.748537,2.6546991,0.53686136,february,0,5,weekday,
6,WECCbus57,1.0128053,-1.7195455000000002,2.1731759999999998,-0.18021827,february,1,5,weekday,
12,WECCbus57,1.0130514000000002,-1.7152798999999999,2.136302,-0.18190867,february,2,5,weekday,
18,WECCbus57,1.0131264000000002,-1.7139415,2.1242886000000003,-0.18245093,february,3,5,weekday,
24,WECCbus57,1.0131593,-1.7134436000000002,2.1179360000000003,-0.18275887,february,4,5,weekday,
30,WECCbus57,1.012989,-1.7164221000000002,2.1411666,-0.18174848,february,5,5,weekday,
36,WECCbus57,1.0124796,-1.7253179,2.2144767000000005,-0.17826484,february,6,5,weekday,
42,WECCbus57,1.0118707,-1.7362039,2.2973342999999997,-0.17404923,february,7,5,weekday,
48,WECCbus57,1.011993,-1.7342453999999998,2.246875,-0.17719431,february,8,5,weekday,
54,WECCbus57,1.0132976,-1.7128392,1.9716766,-0.19048206,february,9,5,weekday,
60,WECCbus57,1.0141504000000001,-1.6966462,1.8423786,-0.19419303,february,10,5,weekday,
66,WECCbus57,1.0143003000000002,-1.6930762,1.8403877,-0.19382146,february,11,5,weekday,
72,WECCbus57,1.0143735,-1.6910397000000001,1.8330355999999999,-0.19384638,february,12,5,weekday,
78,WECCbus57,1.0143651,-1.6912846000000001,1.8324173,-0.19390243,february,13,5,weekday,
84,WECCbus57,1.0143596,-1.691272,1.8352025,-0.19378632,february,14,5,weekday,
90,WECCbus57,1.0142406,-1.6941325,1.843263,-0.19382064,february,15,5,weekday,
96,WECCbus57,1.0138851,-1.7020773999999999,1.8680648999999998,-0.19382552,february,16,5,weekday,
102,WECCbus57,1.0122103,-1.7308379,2.1728788,-0.18148286,february,17,5,weekday,
108,WECCbus57,1.0120837,-1.738144,1.9310835,-0.19522653,february,18,5,weekday,
114,WECCbus57,1.0106462,-1.7602161,2.2206362,-0.18139491,february,19,5,weekday,
120,WECCbus57,1.0086241,-1.7852225,2.7202975,-0.14346228,february,20,5,weekday,
126,WECCbus57,1.008802,-1.7826432,2.7030147,-0.14488454,february,21,5,weekday,
132,WECCbus57,1.0096723,-1.7698011999999999,2.5956994,-0.1537623,february,22,5,weekday,
138,WECCbus57,1.0109474,-1.7503034,2.431009,-0.16564005,february,23,5,weekday,
144,WECCbus57,1.0119639,-1.7337991000000001,2.2923495,-0.17412460000000002,february,0,6,weekend,
150,WECCbus57,1.0126278,-1.7225279999999998,2.1944422,-0.17923312,february,1,6,weekend,
156,WECCbus57,1.0128777,-1.7181612000000002,2.1564127,-0.18103642,february,2,6,weekend,
162,WECCbus57,1.0129798,-1.7164898000000002,2.1405868,-0.18178779,february,3,6,weekend,
168,WECCbus57,1.0129983,-1.7161688000000002,2.1384373,-0.18187886,february,4,6,weekend,
174,WECCbus57,1.012825,-1.7192351000000003,2.1630546,-0.18075156,february,5,6,weekend,
