,name,FullServiceRestaurant,Hospital,LargeHotel,LargeOffice,MediumOffice,MidriseApartment,OutPatient,PrimarySchool,QuickServiceRestaurant,ResidBase,ResidHigh,ResidLow,SecondarySchool,SmallHotel,SmallOffice,Stand-aloneRetail,StripMall,SuperMarket,Warehouse
304,N_1100044786,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25885.0,0.0,0.0,0.0,0.0,337.0,0.0,122.0
305,N_1100001308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,N_1100123567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61911.0,0.0,0.0,0.0,0.0,107.0,0.0,255.0
307,N_1100040449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84912.0,0.0,0.0,0.0,0.0,40.0,0.0,351.0
308,N_1100001229,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8005.0,0.0,0.0,0.0,0.0,116.0,0.0,38.0
309,N_1100079903,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29910.0,0.0,0.0,0.0,0.0,227.0,0.0,131.0
310,N_1100042944,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32513.0,0.0,0.0,0.0,0.0,297.0,0.0,145.0
311,N_1100042945,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41771.0,0.0,0.0,0.0,0.0,743.0,0.0,210.0
312,N_1100122376,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35698.0,0.0,0.0,0.0,0.0,250.0,0.0,155.0
313,N_1100041699,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2284.0,0.0,0.0,0.0,0.0,0.0,335.0,0.0,50.0
314,N_1100040451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,N_1100006788,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,7.0
